Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
"What is the PAST PARTICIPLE form of ""let""?",learnt,lent,sped,let,20,4
"What is the SIMPLE PAST form of ""lie""?",stood,lay,wove,left,20,2
"What is the PAST PARTICIPLE form of ""light""?",wet,lit,withstood,read,20,2
"What is the SIMPLE PAST form of ""lose""?",lost,sank,stole,arose,20,1
"What is the PAST PARTICIPLE form of ""make""?",shaken,made,sunk,taken,20,2
"What is the SIMPLE PAST form of ""mean""?",withheld,shone,found,meant,20,4
"What is the PAST PARTICIPLE form of ""meet""?",burst,met,wed,laid,20,2
"What is the SIMPLE PAST form of ""mislay""?",mislaid,got,withheld,lit,20,1
"What is the PAST PARTICIPLE form of ""mistake""?",mistaken,slid,had,bled,20,1
"What is the SIMPLE PAST form of ""mow""?",understood,forgave,swam,mowed,20,4
"What is the PAST PARTICIPLE form of ""overdo""?",waylaid,dug,overdone,had,20,3
"What is the SIMPLE PAST form of ""oversee""?",flung,wove,gave,oversaw,20,4
"What is the PAST PARTICIPLE form of ""overtake""?",dived,shown,dreamt,overtaken,20,4
"What is the SIMPLE PAST form of ""partake""?",shone,thrust,sped,partook,20,4
"What is the PAST PARTICIPLE form of ""pay""?",paid,slid,fallen,shot,20,1
"What is the SIMPLE PAST form of ""plead""?",split,trod,pleaded,sneaked,20,3
"What is the PAST PARTICIPLE form of ""prove""?",built,proved,lain,ground,20,2
"What is the SIMPLE PAST form of ""put""?",drew,put,spun,burnt,20,2
"What is the PAST PARTICIPLE form of ""quit""?",wrung,quitted,wound,eaten,20,2
"What is the SIMPLE PAST form of ""read""?",spun,sat,mislaid,read,20,4
"What is the PAST PARTICIPLE form of ""rid""?",rid,sent,ridden,forgotten,20,1
"What is the SIMPLE PAST form of ""ride""?",slung,rode,ate,paid,20,2
"What is the PAST PARTICIPLE form of ""ring""?",swung,sprung,rung,stolen,20,3
"What is the SIMPLE PAST form of ""rise""?",rose,sneaked,sheared,knew,20,1
"What is the PAST PARTICIPLE form of ""run""?",said,withdrawn,run,withstood,20,3
"What is the SIMPLE PAST form of ""saw""?",sprang,tore,beheld,sawed,20,4
"What is the PAST PARTICIPLE form of ""say""?",sewn,burst,said,undone,20,3
"What is the SIMPLE PAST form of ""see""?",saw,hurt,blew,rang,20,1
"What is the PAST PARTICIPLE form of ""seek""?",made,sought,mislaid,quitted,20,2
"What is the SIMPLE PAST form of ""sell""?",became,sold,slept,burnt,20,2
"What is the PAST PARTICIPLE form of ""send""?",broken,bitten,sent,upset,20,3
"What is the SIMPLE PAST form of ""set""?",fed,set,began,tore,20,2
"What is the PAST PARTICIPLE form of ""sew""?",withdrawn,stuck,sewn,cut,20,3
"What is the SIMPLE PAST form of ""shake""?",threw,fitted,shook,put,20,3
"What is the PAST PARTICIPLE form of ""shave""?",cost,sunk,shaved,beheld,20,3
"What is the SIMPLE PAST form of ""shear""?",built,sheared,rose,forgot,20,2
"What is the PAST PARTICIPLE form of ""shine""?",shone,dealt,swum,won,20,1
"What is the SIMPLE PAST form of ""shoe""?",shoed,put,wept,broke,20,1
"What is the PAST PARTICIPLE form of ""shoot""?",sold,cost,shot,sewn,20,3
"What is the SIMPLE PAST form of ""show""?",fed,shaved,showed,flung,20,3
"What is the PAST PARTICIPLE form of ""shrink""?",shrunk,slain,shaken,swollen,20,1
"What is the SIMPLE PAST form of ""shut""?",came,shook,shut,lay,20,3
"What is the PAST PARTICIPLE form of ""sing""?",sung,bent,mislaid,sold,20,1
"What is the SIMPLE PAST form of ""sink""?",found,sank,paid,hurt,20,2
"What is the PAST PARTICIPLE form of ""sit""?",sat,spilt,struck,beaten,20,1
"What is the SIMPLE PAST form of ""slay""?",sank,slew,strove,sold,20,2
"What is the PAST PARTICIPLE form of ""sleep""?",shone,sold,slept,upheld,20,3
"What is the SIMPLE PAST form of ""slide""?",gave,wound,slid,sang,20,3
"What is the PAST PARTICIPLE form of ""sling""?",slept,slung,striven,spoken,20,2
"What is the SIMPLE PAST form of ""smell""?",paid,smelt,wrote,shot,20,2
"What is the PAST PARTICIPLE form of ""sneak""?",dealt,sneaked,got,foretold,20,2
"What is the SIMPLE PAST form of ""sow""?",forgave,froze,sowed,slung,20,3
"What is the PAST PARTICIPLE form of ""speak""?",leapt,clung,spoken,foretold,20,3
"What is the SIMPLE PAST form of ""speed""?",sprang,lent,sped,beat,20,3
"What is the PAST PARTICIPLE form of ""spell""?",borne,spelt,leant,striven,20,2
"What is the SIMPLE PAST form of ""spend""?",clung,spent,beat,stung,20,2
"What is the PAST PARTICIPLE form of ""spill""?",spilt,forecast,mistaken,shaved,20,1
"What is the SIMPLE PAST form of ""spin""?",broadcast,said,cut,spun,20,4
"What is the PAST PARTICIPLE form of ""spit""?",stuck,led,spat,dwelt,20,3
"What is the SIMPLE PAST form of ""split""?",strove,split,threw,saw,20,2
"What is the PAST PARTICIPLE form of ""spoil""?",learnt,shorn,shoed,spoilt,20,4
"What is the SIMPLE PAST form of ""spread""?",fought,thrust,spread,chose,20,3
"What is the PAST PARTICIPLE form of ""spring""?",grown,fled,sprung,fallen,20,3
"What is the SIMPLE PAST form of ""stand""?",wore,sank,shook,stood,20,4
"What is the PAST PARTICIPLE form of ""steal""?",got,lain,stolen,wrung,20,3
"What is the SIMPLE PAST form of ""stick""?",won,brought,stuck,ground,20,3
"What is the PAST PARTICIPLE form of ""sting""?",stung,sent,spun,cut,20,1
"What is the SIMPLE PAST form of ""stink""?",brought,drove,stank,knelt,20,3
"What is the PAST PARTICIPLE form of ""strike""?",lain,stung,sworn,struck,20,4
"What is the SIMPLE PAST form of ""string""?",wore,wrote,lent,strung,20,4
"What is the PAST PARTICIPLE form of ""strive""?",striven,swum,burnt,shaved,20,1
"What is the SIMPLE PAST form of ""swear""?",hit,beheld,swore,thought,20,3
"What is the PAST PARTICIPLE form of ""sweat""?",stunk,hurt,sweated,withheld,20,3
"What is the SIMPLE PAST form of ""sweep""?",swept,waylaid,spent,shoed,20,1
"What is the PAST PARTICIPLE form of ""swell""?",trodden,caught,sneaked,swollen,20,4
"What is the SIMPLE PAST form of ""swim""?",withdrew,meant,swam,mistook,20,3
"What is the PAST PARTICIPLE form of ""swing""?",sat,wound,swung,sold,20,3
"What is the SIMPLE PAST form of ""take""?",took,shot,bid,stank,20,1
"What is the PAST PARTICIPLE form of ""teach""?",taught,cut,rung,lost,20,1
"What is the SIMPLE PAST form of ""tear""?",sat,bore,tore,foretold,20,3
"What is the PAST PARTICIPLE form of ""tell""?",borne,thrust,told,shoed,20,3
"What is the SIMPLE PAST form of ""think""?",sheared,wove,leapt,thought,20,4
"What is the PAST PARTICIPLE form of ""throw""?",grown,torn,thrown,swung,20,3
"What is the SIMPLE PAST form of ""thrust""?",cast,thrust,stole,sank,20,2
"What is the PAST PARTICIPLE form of ""tread""?",dealt,upheld,eaten,trodden,20,4
"What is the SIMPLE PAST form of ""understand""?",sped,knew,wrung,understood,20,4
"What is the PAST PARTICIPLE form of ""undo""?",stood,had,undone,shot,20,3
"What is the SIMPLE PAST form of ""uphold""?",upheld,dreamt,sped,swung,20,1
"What is the PAST PARTICIPLE form of ""upset""?",upset,hurt,spat,mistaken,20,1
"What is the SIMPLE PAST form of ""wake""?",wed,swam,swelled,woke,20,4
"What is the PAST PARTICIPLE form of ""waylay""?",spread,slung,waylaid,mown,20,3
"What is the SIMPLE PAST form of ""wear""?",shot,wore,foretold,meant,20,2
"What is the PAST PARTICIPLE form of ""weave""?",got,sat,woven,bled,20,3
"What is the SIMPLE PAST form of ""wed""?",read,wrung,wed,rang,20,3
"What is the PAST PARTICIPLE form of ""weep""?",wept,sown,done,swept,20,1
"What is the SIMPLE PAST form of ""wet""?",split,wet,shot,chose,20,2
"What is the PAST PARTICIPLE form of ""win""?",won,eaten,upset,said,20,1
"What is the SIMPLE PAST form of ""wind""?",took,mowed,wore,wound,20,4
"What is the PAST PARTICIPLE form of ""withdraw""?",meant,spoken,withheld,withdrawn,20,4
"What is the SIMPLE PAST form of ""withhold""?",told,bid,withheld,spread,20,3
"What is the PAST PARTICIPLE form of ""withstand""?",caught,withstood,shaken,gone,20,2
"What is the SIMPLE PAST form of ""wring""?",fitted,wrung,shoed,wore,20,2
"What is the PAST PARTICIPLE form of ""write""?",made,written,bought,leapt,20,2
